             ungodly 2	ungodly, | ungodly.
             sinners 1	sinners,
            scornful 1	scornful.
                LORD 5	LORD; | LORD, | LORD: | LORD. | LORD?
               night 4	night. | night; | night, | night:
               water 3	water, | water: | water;
              season 3	season; | season, | season.
              wither 1	wither;
             prosper 1	prosper.
                  so 2	so: | so,
                away 3	away. | away, | away:
            judgment 4	judgment, | judgment. | judgment: | judgment;
           righteous 4	righteous. | righteous: | righteous; | righteous,
              perish 5	perish. | perish, | perish? | perish: | perish;
                rage 1	rage,
               thing 3	thing? | thing. | thing,
          themselves 4	themselves, | themselves. | themselves: | themselves?
            together 4	together, | together. | together: | together;
            anointed 3	anointed, | anointed; | anointed.
              saying 1	saying,
             asunder 1	asunder,
                  us 5	us. | us? | us, | us; | us:
               laugh 1	laugh:
            derision 2	derision. | derision:
               wrath 3	wrath, | wrath: | wrath.
         displeasure 1	displeasure.
                Zion 5	Zion. | Zion: | Zion! | Zion; | Zion,
              decree 1	decree:
                  me 6	me, | me! | me. | me; | me: | me?
                 Son 2	Son; | Son,
                thee 6	thee. | thee, | thee: | thee; | thee? | thee!
         inheritance 4	inheritance, | inheritance: | inheritance. | inheritance;
          possession 1	possession.
                iron 2	iron; | iron:
              vessel 1	vessel.
           therefore 1	therefore,
               kings 4	kings: | kings. | kings, | kings;
          instructed 1	instructed,
               earth 5	earth. | earth, | earth! | earth; | earth:
                fear 4	fear, | fear: | fear? | fear.
           trembling 1	trembling.
               angry 2	angry, | angry?
                 way 5	way, | way. | way; | way: | way?
              little 1	little.
                 him 6	him. | him? | him; | him, | him: | him!
                Lord 5	Lord, | Lord: | Lord. | Lord? | Lord;
                soul 5	soul, | soul: | soul. | soul; | soul?
                 God 6	God. | God: | God; | God, | God? | God!
               Selah 2	Selah. | Selah:
                thou 2	thou, | thou:
               glory 5	glory, | glory? | glory. | glory; | glory:
                head 4	head. | head, | head: | head;
               voice 4	voice, | voice; | voice: | voice.
                hill 4	hill. | hill? | hill, | hill;
               slept 1	slept;
              awaked 1	awaked;
              people 5	people, | people. | people: | people; | people?
               about 5	about. | about: | about? | about; | about,
               Arise 1	Arise,
                bone 1	bone;
                call 2	call, | call.
       righteousness 5	righteousness: | righteousness, | righteousness; | righteousness. | righteousness'
            distress 2	distress; | distress:
              prayer 4	prayer. | prayer, | prayer: | prayer;
                 men 6	men, | men. | men: | men! | men? | men;
               shame 5	shame? | shame; | shame, | shame. | shame:
              vanity 4	vanity, | vanity. | vanity: | vanity;
             leasing 2	leasing? | leasing:
             himself 3	himself: | himself, | himself.
                 awe 1	awe,
                 not 4	not: | not, | not. | not;
                 bed 2	bed, | bed;
               still 2	still. | still,
                 say 3	say, | say; | say:
                good 5	good? | good. | good, | good: | good;
               heart 4	heart, | heart. | heart; | heart:
           increased 2	increased. | increased;
               peace 3	peace, | peace. | peace:
